Cum GPA,TEAS Count,MaxOfTestScore,failing grade count,Time to Test (days),Completion Time (days),PrecEducDesc,Grade,GradePass,HighSchool,Assoc,Bach,Masters
3.12,1.0,90.7,0,112.39,466.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
3.52,1.0,76.7,0,59.31,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.8,1.0,70.7,0,334.44,704.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.6,1.0,74.0,0,332.54,599.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.97,1.0,76.7,1,741.0,599.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.95,1.0,87.3,0,26.51,599.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
2.64,1.0,73.3,0,220.33,599.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
2.79,3.0,68.0,1,234.34,592.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.0,1.0,76.7,1,136.58,704.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
2.48,1.0,74.0,0,151.35,473.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
2.86,1.0,80.7,0,42.34,473.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.29,1.0,88.0,0,46.33,466.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
2.97,1.0,75.3,0,88.33,473.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.97,1.0,81.3,0,60.58,473.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
2.97,1.0,84.7,0,82.33,465.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.14,2.0,74.0,0,82.56,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.22,1.0,86.7,0,42.45,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.02,1.0,70.7,0,91.58,466.0,Masters,Pass,1.0,0.0,0.0,0.0,1.0
3.71,1.0,84.0,0,46.6,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.02,3.0,74.0,0,61.56,592.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.47,1.0,74.7,0,60.33,591.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.83,1.0,83.3,0,48.32,473.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
2.93,3.0,66.0,0,80.0,591.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.95,1.0,74.7,0,60.33,592.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.6,1.0,79.3,0,88.48,592.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.02,1.0,86.7,2,133.32,704.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.22,1.0,69.3,0,41.5,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.78,2.0,74.7,0,60.32,473.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.29,2.0,77.3,0,350.0,592.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
