ID,Cum GPA,TEAS Count,MaxOfTestScore,PrecEducDesc,failing grade count,DateStart,GradDate,Test Delivery Date,Time to Test (days),Completion Time (days),Grade,Qtr,Year
1160,2.74,2,67.3,High School/GED/Some College,0,9/10/2018,12/21/2019,4/1/2020,102.00,467.00,Fail,2020-2,2020
1161,3.1,1,82,High School/GED/Some College,0,1/7/2019,4/25/2020,8/6/2020,103.00,474.00,Pass,2020-3,2020
1162,2.9,3,70,Associates,0,5/6/2019,8/29/2020,12/23/2020,116.00,481.00,Pass,2020-4,2020
1163,3.97,,,High School/GED/Some College,0,9/10/2018,12/21/2019,2/13/2020,54.00,467.00,Pass,2020-1,2020
1164,2.93,1,70,High School/GED/Some College,0,9/10/2018,12/21/2019,7/2/2020,194.00,467.00,Fail,2020-3,2020
1165,2.83,1,76.7,High School/GED/Some College,0,9/10/2018,12/21/2019,4/23/2020,124.00,467.00,Pass,2020-2,2020
1166,2.88,1,68,High School/GED/Some College,0,1/7/2019,4/25/2020,8/19/2020,116.00,474.00,Pass,2020-3,2020
1167,2.53,1,68.7,Masters,0,1/7/2019,8/29/2020,11/25/2020,88.00,600.00,Fail,2020-4,2020
1168,2.48,1,70.7,High School/GED/Some College,0,1/7/2019,4/25/2020,7/25/2020,91.00,474.00,Fail,2020-3,2020
1169,3.17,1,79.3,High School/GED/Some College,0,9/10/2018,4/25/2020,7/16/2020,82.00,593.00,Pass,2020-3,2020
1170,3.21,1,80,Masters,0,9/10/2018,8/29/2020,11/16/2020,79.00,719.00,Fail,2020-4,2020
1171,3.29,4,84,High School/GED/Some College,0,9/10/2018,12/21/2019,2/19/2020,60.00,467.00,Pass,2020-1,2020
1172,2.71,2,64,High School/GED/Some College,0,9/10/2018,12/21/2019,3/28/2020,98.00,467.00,Fail,2020-1,2020
1173,3.05,1,70.7,High School/GED/Some College,0,9/10/2018,12/21/2019,2/18/2020,59.00,467.00,Pass,2020-1,2020
1174,3.52,6,84.7,High School/GED/Some College,0,9/10/2018,4/25/2020,8/10/2020,107.00,593.00,Pass,2020-3,2020
1175,3.91,1,82.7,High School/GED/Some College,0,9/10/2018,12/21/2019,2/11/2020,52.00,467.00,Pass,2020-1,2020
1176,3.14,1,79.3,High School/GED/Some College,0,9/10/2018,12/21/2019,2/20/2020,61.00,467.00,Pass,2020-1,2020
1177,3.07,1,70,High School/GED/Some College,0,9/10/2018,4/25/2020,7/1/2020,67.00,593.00,Pass,2020-3,2020
